[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
7437 frames: done 220 games, mean reward 0.3, epsilon 0.91, speed 98.23 frames/s
7460 frames: done 221 games, mean reward 0.267, epsilon 0.91, speed 101.18 frames/s
7511 frames: done 222 games, mean reward 0.3, epsilon 0.91, speed 102.08 frames/s
7534 frames: done 223 games, mean reward 0.267, epsilon 0.91, speed 101.48 frames/s
7557 frames: done 224 games, mean reward 0.267, epsilon 0.91, speed 97.96 frames/s
7624 frames: done 225 games, mean reward 0.3, epsilon 0.91, speed 99.46 frames/s
7647 frames: done 226 games, mean reward 0.267, epsilon 0.91, speed 96.89 frames/s
7670 frames: done 227 games, mean reward 0.233, epsilon 0.91, speed 100.96 frames/s
7693 frames: done 228 games, mean reward 0.233, epsilon 0.91, speed 101.65 frames/s
7716 frames: done 229 games, mean reward 0.2, epsilon 0.91, speed 100.17 frames/s
7739 frames: done 230 games, mean reward 0.2, epsilon 0.91, speed 97.77 frames/s
7762 frames: done 231 games, mean reward 0.2, epsilon 0.91, speed 99.14 frames/s
7785 frames: done 232 games, mean reward 0.2, epsilon 0.91, speed 101.19 frames/s
7808 frames: done 233 games, mean reward 0.167, epsilon 0.91, speed 102.03 frames/s
7904 frames: done 234 games, mean reward 0.233, epsilon 0.91, speed 103.78 frames/s
7927 frames: done 235 games, mean reward 0.233, epsilon 0.91, speed 96.32 frames/s
7950 frames: done 236 games, mean reward 0.233, epsilon 0.91, speed 98.45 frames/s
7973 frames: done 237 games, mean reward 0.233, epsilon 0.91, speed 102.1 frames/s
7994 frames: done 238 games, mean reward 0.2, epsilon 0.91, speed 103.09 frames/s
8015 frames: done 239 games, mean reward 0.2, epsilon 0.91, speed 99.76 frames/s
8036 frames: done 240 games, mean reward 0.2, epsilon 0.91, speed 96.28 frames/s
8059 frames: done 241 games, mean reward 0.2, epsilon 0.91, speed 103.32 frames/s
8082 frames: done 242 games, mean reward 0.2, epsilon 0.91, speed 104.35 frames/s
8105 frames: done 243 games, mean reward 0.2, epsilon 0.91, speed 102.15 frames/s
8128 frames: done 244 games, mean reward 0.2, epsilon 0.91, speed 103.41 frames/s
8224 frames: done 245 games, mean reward 0.267, epsilon 0.9, speed 101.3 frames/s
8247 frames: done 246 games, mean reward 0.267, epsilon 0.9, speed 99.41 frames/s
8268 frames: done 247 games, mean reward 0.233, epsilon 0.9, speed 101.83 frames/s
8291 frames: done 248 games, mean reward 0.2, epsilon 0.9, speed 99.5 frames/s
8312 frames: done 249 games, mean reward 0.2, epsilon 0.9, speed 100.03 frames/s
8335 frames: done 250 games, mean reward 0.2, epsilon 0.9, speed 93.43 frames/s
8358 frames: done 251 games, mean reward 0.2, epsilon 0.9, speed 99.37 frames/s
8381 frames: done 252 games, mean reward 0.167, epsilon 0.9, speed 102.34 frames/s
8500 frames: done 253 games, mean reward 0.233, epsilon 0.9, speed 100.83 frames/s
8523 frames: done 254 games, mean reward 0.233, epsilon 0.9, speed 97.61 frames/s
8544 frames: done 255 games, mean reward 0.2, epsilon 0.9, speed 94.09 frames/s
8567 frames: done 256 games, mean reward 0.2, epsilon 0.9, speed 100.3 frames/s
